Common_names,Clade1,Clade2,Family,Genus,Species,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,Taxon group,Prey size
rorqual,Cetacea,Mysticeti,Balaenopteridae,Balaenoptera,physalus,-0.01520888,0.4390865,-0.1549317,-0.2181098,-0.1169442,-0.328781,0.004008148,-0.1957798,0.1229707,-0.3276144,0.1535347,-0.2139392,0.005821135,0.4382733,-0.000531038,0.3642845,0.001281124,0.04257988,Mysticeti,tiny
rorqual,Cetacea,Mysticeti,Balaenopteridae,Balaenoptera,omurai,-0.01367951,0.5818372,-0.2223889,-0.1438901,-0.1323887,-0.2913423,0.00271916,-0.2598723,0.1293885,-0.2731022,0.1967694,-0.128815,0.000203442,0.5730656,0.01530471,0.001427106,0.02407194,-0.05930809,Mysticeti,tiny
rorqual,Cetacea,Mysticeti,Balaenopteridae,Balaenoptera,borealis,-0.008242008,0.5841232,-0.09078012,-0.1853251,-0.01864908,-0.2920044,0.001430556,-0.295736,0.02052916,-0.2937397,0.09358689,-0.180678,-0.000599143,0.5841575,0.001642744,0.0835498,0.001081,-0.004347433,Mysticeti,tiny
rorqual,Cetacea,Mysticeti,Balaenopteridae,Megaptera,novaeangliae,-0.007056837,0.5963572,-0.08237012,-0.1774021,-0.0106571,-0.2733463,0.00072437,-0.2782391,0.01501193,-0.2748679,0.08469519,-0.1729313,0.001143725,0.5965263,-0.001453751,0.02629135,-3.74E-05,-0.04238836,Mysticeti,tiny
rorqual,Cetacea,Mysticeti,Eschrichtidae,Eschrichtius,robustus,-0.008473506,0.5974919,-0.07902452,-0.1590882,-0.01302019,-0.2734406,0.001184341,-0.2743688,0.01381744,-0.274492,0.08210135,-0.1551322,0.001039822,0.6013473,0.000821637,0.01227533,0.001553631,-0.0745926,Mysticeti,tiny
pygmy right whale,Cetacea,Mysticeti,Cetotheriidae,Caperea,marginata,-0.004480408,0.5716972,-0.08520663,-0.1929808,-0.01197923,-0.2883003,0.004758588,-0.2896104,0.02093873,-0.2873263,0.07890555,-0.187222,0.000904077,0.5727592,-0.000878935,0.1601947,-0.002961741,-0.05921132,Mysticeti,tiny
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Cephalorhynchus,eutropia,-0.008405759,0.598417,-0.08063506,-0.1752418,-0.009077761,-0.2619774,0.003097269,-0.2628569,0.01525921,-0.2609278,0.07760543,-0.1791856,0.001888135,0.5994012,-0.00290992,0.02172768,0.003178448,-0.07935631,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Cephalorhynchus,commersonii,-0.00651521,0.6004135,-0.05897183,-0.1741138,-0.009908302,-0.2411142,0.001847569,-0.2419407,0.01499533,-0.2420911,0.0607657,-0.1734066,0.002472713,0.5996186,-0.00196716,-0.03081341,-0.002718799,-0.0965522,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Cephalorhynchus,heavisidii,-0.006497493,0.6025356,-0.06768851,-0.1660979,-0.04267292,-0.2445444,0.001895,-0.2561008,0.04749967,-0.242004,0.06925284,-0.1597934,0.004863297,0.6012525,-0.003449125,-0.06047759,-0.003202752,-0.07476993,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Cephalorhynchus,hectori,-0.01166312,0.599271,-0.08456624,-0.1189024,-0.007572049,-0.2797423,0.000344234,-0.2816164,0.008235833,-0.2815177,0.08702668,-0.1128092,0.004144763,0.5974956,0.002992453,-0.02013314,0.001057442,-0.1020455,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Delphinus,delphis,-0.00688528,0.5848254,-0.1264226,-0.1988669,-0.009021838,-0.2829092,0.003771813,-0.2839831,0.01830092,-0.2838827,0.1188207,-0.1960088,0.000669856,0.5848776,-0.000414977,0.06935272,0.001181358,0.006595012,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Feresa,attenuata,-0.0103281,0.5395906,-0.120182,-0.1696012,-0.04745544,-0.3237119,0.000769015,-0.3303089,0.05541499,-0.3232993,0.1191066,-0.1641683,0.002143057,0.5408353,-0.000244871,0.2225268,0.00077675,0.008136913,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Globicephala,melas,-0.0179774,0.5810919,-0.2208938,-0.1479925,-0.1186199,-0.2660222,-0.001344764,-0.2287568,0.1266158,-0.2641971,0.209805,-0.1488683,0.005449575,0.5819483,0.007611073,-0.03375984,0.009354397,-0.07344351,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Globicephala,macrorhynchus,-0.01046652,0.5599602,-0.09655747,-0.1493056,-0.03921633,-0.3293795,0.003562394,-0.3338214,0.04151656,-0.3278488,0.09815407,-0.1460051,0.000932029,0.5600422,0.001949975,0.1544301,0.000125292,0.01192778,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Grampus,griseus,-0.008582613,0.5881871,-0.1180937,-0.1612384,-0.01566684,-0.2952884,-0.000893387,-0.3022186,0.01872583,-0.2944275,0.116193,-0.1470308,0.001839406,0.588448,0.003914044,0.0889724,0.002564215,-0.06540393,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Lagenodelphis,hosei,-0.02794805,0.5598938,-0.1137766,-0.1676723,-0.06348361,-0.3069869,0.001045501,-0.3397726,0.07141571,-0.3050084,0.1176264,-0.1659864,0.02154065,0.5627545,-0.005470009,0.1626972,-0.00095005,8.10E-05,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Lagenorhynchus,albirostris,-0.009062153,0.5978612,-0.09848635,-0.1567758,-0.01889416,-0.2807529,0.002134284,-0.289154,0.02286358,-0.2826645,0.1020224,-0.1495791,0.004704849,0.599326,-0.002037092,0.01377751,-0.003245336,-0.05203834,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Lagenorhynchus,acutus,-0.0101454,0.5212999,-0.1580003,-0.1894076,-0.05186505,-0.3285776,0.000360941,-0.3241587,0.06254334,-0.3255708,0.1475128,-0.1627161,0.008366703,0.5220005,0.000949048,0.2447261,0.000277919,0.04240415,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Lagenorhynchus,obscurus,-0.006974214,0.5444986,-0.1453505,-0.1792387,-0.03231302,-0.3177568,0.002935597,-0.3350289,0.03932711,-0.3126358,0.1442534,-0.1700245,0.00148244,0.5465452,-0.001361486,0.1953615,-0.001999361,0.02827941,Odontoceti,middle
